ID,Longitude,Latitude,Altitude,North,East,Height,Yaw,Roll,Pitch
255073,118.869763,32.016266,12.57,-1723828.634,3708992.763,1257,1.239673,0.0148,-0.028047
255074,118.869762,32.016266,12.57,-1723827.521,3708988.052,1257,1.238747,0.014783,-0.0281
255075,118.869762,32.016266,12.57,-1723826.408,3708983.341,1257,1.237805,0.014923,-0.028065
255076,118.869761,32.016266,12.57,-1723825.295,3708979.572,1257,1.236845,0.015184,-0.02796
255077,118.869761,32.016266,12.57,-1723823.068,3708974.86,1257,1.235833,0.015411,-0.02789
255078,118.86976,32.016266,12.57,-1723821.955,3708970.149,1257,1.23482,0.015568,-0.027768
255079,118.86976,32.016266,12.57,-1723819.729,3708966.38,1257,1.233773,0.015673,-0.027611
255080,118.869759,32.016267,12.57,-1723818.615,3708961.668,1257,1.232709,0.015673,-0.027541
255081,118.869759,32.016267,12.57,-1723817.502,3708957.899,1257,1.231626,0.015551,-0.027454
255082,118.869759,32.016267,12.57,-1723815.276,3708953.188,1257,1.23051,0.015394,-0.027454
255083,118.869758,32.016267,12.58,-1723814.163,3708948.476,1258,1.229375,0.015202,-0.027471
255084,118.869758,32.016267,12.58,-1723813.05,3708944.707,1258,1.228223,0.014992,-0.027611
255085,118.869757,32.016267,12.58,-1723810.823,3708939.996,1258,1.227036,0.0148,-0.027751
255086,118.869757,32.016267,12.58,-1723809.71,3708935.285,1258,1.22578,0.014748,-0.027943
255087,118.869756,32.016267,12.58,-1723807.484,3708931.515,1258,1.224453,0.014748,-0.028239
255088,118.869756,32.016268,12.58,-1723806.37,3708926.804,1258,1.223092,0.014765,-0.028519
255089,118.869755,32.016268,12.58,-1723805.257,3708923.035,1258,1.221661,0.0148,-0.02885
255090,118.869755,32.016268,12.58,-1723803.031,3708918.324,1258,1.220124,0.014835,-0.029147
255091,118.869754,32.016268,12.58,-1723801.918,3708913.612,1258,1.218519,0.014835,-0.029444
255092,118.869754,32.016268,12.58,-1723800.804,3708909.843,1258,1.216861,0.014731,-0.029583
255093,118.869754,32.016268,12.58,-1723800.804,3708909.843,1258,1.216861,0.014731,-0.029583
255094,118.869753,32.016268,12.58,-1723798.578,3708905.132,1258,1.215133,0.014521,-0.029706
255095,118.869753,32.016268,12.58,-1723797.465,3708901.363,1258,1.213318,0.014242,-0.02974
255096,118.869753,32.016269,12.58,-1723795.238,3708896.651,1258,1.211468,0.013875,-0.029653
255097,118.869752,32.016269,12.58,-1723794.125,3708891.94,1258,1.209583,0.013474,-0.029514
255098,118.869752,32.016269,12.58,-1723793.012,3708888.171,1258,1.207663,0.013038,-0.029322
255099,118.869751,32.016269,12.57,-1723790.786,3708883.459,1257,1.205691,0.012601,-0.02906
255100,118.869751,32.016269,12.57,-1723789.672,3708879.69,1257,1.203718,0.012217,-0.028693
